Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF,I Freq,I_VA_real,I_VA_imag,I_VB_real,I_VB_imag,I_ VC_real,I_VC_imag,I_IA_real,I_IA_imag,I_IB_real,I_IB_imag,I_IC_real,I_IC_imag
3712076962.100000,0.153966,0.029216,0.001511,0.159283,0.027847,0.001568,0.169837,0.028105,0.001675,0.161048,0.028387,0.001585,128.385844,-55.188849,-2.093593,127.986242,-55.519517,2.088424,200.792269,93.416739,-1.386406,53.254818,45.793548,-0.225623,-0.000027,0.000887,3712076962.100000,69.582939,-1.507419,-36.067005,-59.474098,-33.811993,61.581894,69.786667,-1.504738,0.000019,0.000007,0.000014,0.000013,-0.000027,-0.000060,-0.000012,0.000025,49.999977,0.000881,3712076962.100000,69.560259,-1.612119,-36.150154,-59.400928,-33.699342,61.621114,69.764390,-1.614893,-0.000035,0.000030,0.000011,-0.000041,0.000028,-0.000019,-0.000012,0.000015,50.000005,-0.000006,90.000000,6.945706,-0.289973,-3.721374,-5.866748,-3.252437,6.218386,0.000005,0.000008,0.000002,-0.000037,-0.000059,0.000016
3712076962.120000,0.154948,0.028318,0.001523,0.159676,0.026295,0.001575,0.169244,0.030332,0.001665,0.161309,0.028323,0.001588,79.870586,-1.876471,-0.829677,126.008943,-10.960435,1.455435,121.663675,-35.005725,1.615261,55.005261,11.309697,-0.515923,0.000050,-0.000174,3712076962.120000,69.582260,-1.506774,-36.066219,-59.473644,-33.812199,61.583275,69.786613,-1.504543,-0.000006,0.000027,0.000036,0.000015,0.000019,0.000016,-0.000004,0.000022,50.000057,-0.000175,3712076962.120000,69.560187,-1.612301,-36.150325,-59.401156,-33.699407,61.620789,69.764377,-1.614892,-0.000024,0.000014,0.000021,-0.000039,0.000023,-0.000030,-0.000013,0.000016,50.000008,-0.000001,90.000000,1.870273,-6.696059,-6.729821,1.725206,4.908516,5.013986,0.000010,0.000015,-0.000021,0.000020,-0.000004,0.000029
3712076962.140000,0.154892,0.026383,0.001526,0.159075,0.027397,0.001567,0.171639,0.031968,0.001686,0.161895,0.028594,0.001593,60.714633,-36.589381,-0.618243,5.043528,4.031680,-0.029711,108.130795,39.247424,5.401009,45.465896,-16.789856,-0.467436,-0.000003,0.000341,3712076962.140000,69.580978,-1.506529,-36.067078,-59.474178,-33.813793,61.583416,69.786789,-1.504184,0.000004,0.000025,-0.000006,-0.000030,-0.000045,0.000028,0.000015,0.000018,50.000011,0.000332,3712076962.140000,69.560246,-1.612288,-36.150311,-59.401323,-33.699137,61.620643,69.764356,-1.614909,-0.000018,0.000036,-0.000005,-0.000029,-0.000036,-0.000012,0.000006,0.000028,50.000014,-0.000010,90.000000,-5.789951,-3.848406,-0.438515,6.932458,6.285914,-3.119564,0.000008,0.000008,0.000036,0.000023,0.000047,0.000023
3712076962.160000,0.152791,0.025680,0.001506,0.158093,0.029393,0.001553,0.174778,0.030586,0.001721,0.161924,0.028560,0.001594,103.108494,-54.952178,-1.415005,145.307624,15.226102,4.806375,181.581228,0.997043,4.027918,155.966612,-36.851716,-2.529661,-0.000018,-0.000693,3712076962.160000,69.580429,-1.507747,-36.068527,-59.474461,-33.815243,61.581696,69.786674,-1.504256,0.000026,0.000023,-0.000026,0.000007,0.000020,0.000051,0.000016,-0.000020,49.999996,-0.000703,3712076962.160000,69.560217,-1.612119,-36.150230,-59.400910,-33.698931,61.620938,69.764264,-1.615007,-0.000042,0.000066,-0.000008,-0.000022,-0.000052,-0.000016,-0.000003,0.000041,50.000014,-0.000010,90.000000,-5.449044,4.317870,6.458142,2.559102,-1.024018,-6.941841,0.000037,-0.000127,0.000003,-0.000034,0.000047,-0.000049
3712076962.180000,0.152055,0.026758,0.001497,0.159711,0.030441,0.001568,0.173433,0.028370,0.001711,0.161760,0.028518,0.001592,295.978216,96.001686,-3.114967,203.086402,25.967802,4.055921,115.978989,-24.696949,4.860294,169.686917,-14.914215,-2.317149,-0.000026,0.000255,3712076962.180000,69.580994,-1.508351,-36.067829,-59.475483,-33.813946,61.580975,69.786613,-1.504338,0.000014,-0.000039,-0.000029,0.000029,-0.000018,0.000028,0.000011,-0.000020,49.999977,0.000252,3712076962.180000,69.560045,-1.612054,-36.150014,-59.400788,-33.698988,61.621249,69.764235,-1.614978,-0.000007,0.000020,-0.000004,-0.000033,-0.000040,-0.000018,0.000009,0.000026,50.000003,-0.000003,90.000000,2.422176,6.517082,4.429205,-5.351321,-6.919060,-1.170772,-0.000046,0.000030,-0.000022,-0.000001,0.000007,-0.000025
3712076962.200000,0.154196,0.029431,0.001513,0.161247,0.028235,0.001587,0.169247,0.028360,0.001668,0.161581,0.028679,0.001590,298.250160,281.037682,0.517295,156.622402,-42.294519,2.898100,114.553581,59.276300,-0.797694,81.889921,20.975730,-0.736203,0.000013,-0.000520,3712076962.200000,69.582687,-1.507286,-36.065975,-59.474838,-33.811646,61.582333,69.786697,-1.504447,-0.000018,-0.000045,0.000031,0.000013,-0.000047,0.000058,0.000023,-0.000017,50.000011,-0.000530,3712076962.200000,69.559854,-1.612116,-36.150129,-59.400743,-33.699303,61.621179,69.764210,-1.614937,-0.000010,-0.000008,-0.000046,-0.000034,-0.000046,0.000004,0.000023,0.000002,49.999998,-0.000010,90.000000,6.945786,-0.289944,-3.721193,-5.866745,-3.252278,6.218520,0.000003,0.000071,0.000044,0.000053,-0.000021,-0.000018
3712076962.220000,0.155575,0.029268,0.001528,0.161168,0.027284,0.001588,0.169087,0.029793,0.001664,0.161960,0.028782,0.001594,231.728766,176.335640,-0.938492,108.147474,19.740061,-1.014687,393.211197,202.166045,3.631996,349.175021,199.627399,-1.949342,0.000002,0.000154,3712076962.220000,69.582634,-1.506531,-36.065594,-59.474537,-33.811928,61.583141,69.786804,-1.504189,-0.000050,-0.000017,-0.000042,-0.000003,0.000061,0.000041,-0.000010,-0.000039,50.000011,0.000154,3712076962.220000,69.559892,-1.612362,-36.150143,-59.400976,-33.699356,61.620966,69.764239,-1.614933,-0.000006,-0.000018,-0.000017,-0.000031,-0.000024,-0.000002,0.000013,0.000002,50.000009,-0.000000,90.000000,1.870300,-6.696147,-6.729816,1.725072,4.908651,5.014119,0.000047,0.000001,0.000062,-0.000034,-0.000025,0.000011
3712076962.240000,0.154655,0.027074,0.001522,0.158229,0.028346,0.001556,0.171854,0.030768,0.001691,0.161612,0.028732,0.001590,355.397522,330.233076,-0.644357,108.052588,39.281394,-0.881151,92.887692,57.020002,-5.689321,205.171278,36.184675,-2.091452,-0.000058,0.000511,3712076962.240000,69.581253,-1.506793,-36.067837,-59.474155,-33.813568,61.582718,69.786758,-1.504442,-0.000035,-0.000009,-0.000058,-0.000006,-0.000043,-0.000001,-0.000012,-0.000025,49.999958,0.000503,3712076962.240000,69.560045,-1.612289,-36.150116,-59.401107,-33.699045,61.620833,69.764233,-1.614947,-0.000005,-0.000007,-0.000023,-0.000035,-0.000023,0.000015,0.000020,0.000001,50.000016,-0.000008,90.000000,-5.790006,-3.848452,-0.438530,6.932529,6.286208,-3.119568,0.000007,-0.000037,-0.000023,-0.000072,0.000005,0.000036
3712076962.260000,0.152967,0.025990,0.001507,0.157153,0.029104,0.001544,0.174861,0.030385,0.001722,0.161699,0.028500,0.001591,170.636721,6.295220,1.947395,102.059519,-12.095824,5.141267,122.313773,-39.960538,-4.599228,102.084271,-58.040318,1.410503,0.000029,0.000283,3712076962.260000,69.580635,-1.507689,-36.068893,-59.473801,-33.815163,61.581581,69.786568,-1.504456,-0.000003,0.000020,-0.000057,0.000013,-0.000037,-0.000013,0.000008,0.000019,50.000042,0.000272,3712076962.260000,69.560205,-1.612142,-36.150164,-59.400747,-33.698846,61.620987,69.764202,-1.615055,0.000018,-0.000004,-0.000040,-0.000053,-0.000014,0.000063,0.000049,-0.000011,50.000013,-0.000012,90.000000,-5.448857,4.317816,6.458440,2.559191,-1.023770,-6.942016,-0.000051,-0.000030,-0.000076,-0.000015,0.000040,0.000004
3712076962.280000,0.153042,0.027725,0.001505,0.159530,0.030450,0.001566,0.174278,0.027853,0.001720,0.162306,0.028667,0.001597,141.556090,-55.455757,-2.699920,97.871698,10.108190,5.318487,68.256793,-46.022391,-0.700327,107.754339,-38.828603,-1.395725,0.000023,0.000391,3712076962.280000,69.581810,-1.507791,-36.067921,-59.475288,-33.814190,61.580433,69.786728,-1.504050,0.000004,-0.000020,-0.000058,0.000005,-0.000011,0.000034,0.000018,-0.000022,50.000027,0.000388,3712076962.280000,69.560177,-1.612055,-36.149991,-59.400655,-33.698827,61.621343,69.764237,-1.615056,0.000010,0.000045,-0.000034,-0.000041,-0.000056,0.000036,0.000041,0.000022,50.000003,-0.000003,90.000000,2.422169,6.516768,4.429339,-5.351541,-6.919061,-1.171118,-0.000038,0.000013,-0.000007,0.000048,0.000003,-0.000052
