Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF,I Freq,I_VA_real,I_VA_imag,I_VB_real,I_VB_imag,I_ VC_real,I_VC_imag,I_IA_real,I_IA_imag,I_IB_real,I_IB_imag,I_IC_real,I_IC_imag
3712075316.100000,0.154228,0.028565,0.001515,0.164437,0.027496,0.001621,0.170429,0.024934,0.001686,0.163034,0.026993,0.001608,131.289651,-15.522570,1.576747,108.460293,-41.684882,4.853214,256.566893,70.207857,3.803350,184.275812,172.251492,-0.399469,0.000020,-0.004148,3712075316.100000,69.580658,-1.512387,-36.067135,-59.471745,-33.805836,61.580498,69.783821,-1.508368,0.000038,-0.000008,-0.000033,0.000005,-0.000007,0.000040,0.000024,-0.000022,49.999912,-0.004256,3712075316.100000,69.558417,-1.617365,-36.153550,-59.396870,-33.693578,61.622033,69.762475,-1.620115,-0.000009,-0.000045,-0.000017,-0.000055,-0.000011,-0.000021,0.000011,-0.000004,49.999892,-0.000108,43.500000,-3.973906,5.711912,6.929443,0.585156,-2.987432,-6.357597,-0.000008,-0.000054,-0.000021,0.000015,-0.000043,0.000038
3712075316.120000,0.155804,0.028124,0.001532,0.161291,0.024887,0.001593,0.169394,0.028085,0.001670,0.162177,0.027038,0.001599,58.521025,-16.098078,-0.624333,75.571092,-58.661436,0.759095,180.241573,-11.852676,3.724620,152.502822,-20.328917,2.019319,0.000008,-0.000955,3712075316.120000,69.580353,-1.511745,-36.068508,-59.469040,-33.805309,61.582535,69.783669,-1.509493,-0.000014,-0.000026,-0.000000,-0.000031,-0.000030,0.000000,0.000011,0.000019,49.999832,-0.001131,3712075316.120000,69.558392,-1.617901,-36.154222,-59.396711,-33.692940,61.621606,69.762304,-1.620627,0.000005,-0.000035,-0.000052,-0.000053,0.000029,-0.000019,0.000015,-0.000023,49.999824,-0.000176,43.500000,1.443020,6.806754,5.170648,-4.649792,-6.678891,-2.173469,-0.000030,-0.000027,0.000026,0.000039,-0.000001,0.000038
3712075316.140000,0.154917,0.026434,0.001526,0.158840,0.027372,0.001564,0.172408,0.031254,0.001695,0.162088,0.028367,0.001596,31.086166,-25.514925,0.206121,124.874822,-70.832881,3.762977,61.967977,-44.035445,0.591387,120.997346,-10.116749,-1.378326,0.000044,0.002191,3712075316.140000,69.579651,-1.512749,-36.071613,-59.469296,-33.806808,61.583809,69.784645,-1.510461,0.000009,-0.000031,-0.000002,0.000024,0.000015,-0.000016,-0.000006,-0.000016,49.999920,0.002066,3712075316.140000,69.558874,-1.618515,-36.154708,-59.396533,-33.691830,61.621772,69.762357,-1.621350,0.000003,-0.000044,-0.000040,-0.000071,0.000007,-0.000039,0.000016,-0.000010,49.999875,-0.000125,43.500000,5.948960,3.607379,0.149419,-6.951414,-6.156955,3.382022,-0.000039,0.000045,0.000019,0.000061,0.000028,0.000063
3712075316.160000,0.152820,0.027233,0.001504,0.159511,0.030947,0.001565,0.174582,0.031258,0.001717,0.162338,0.029812,0.001596,86.984120,-44.590344,-1.051046,102.077399,-44.680478,-1.329816,132.744138,-53.702716,2.203794,46.943247,-43.829040,0.224807,-0.000040,0.003896,3712075316.160000,69.580673,-1.514227,-36.073174,-59.471207,-33.807762,61.583939,69.785988,-1.510832,-0.000014,-0.000003,-0.000007,0.000031,0.000013,0.000019,-0.000002,-0.000013,49.999966,0.003860,3712075316.160000,69.559375,-1.618401,-36.154987,-59.396314,-33.691421,61.622645,69.762691,-1.621693,-0.000007,-0.000025,-0.000058,0.000002,0.000016,-0.000046,-0.000009,-0.000022,50.000005,-0.000036,43.500000,6.701448,-1.868067,-4.966205,-4.867875,-1.750219,6.803269,-0.000014,0.000034,0.000027,-0.000028,0.000061,0.000009
3712075316.180000,0.152712,0.031304,0.001494,0.160758,0.034227,0.001570,0.173908,0.031027,0.001711,0.162476,0.032184,0.001592,64.581604,-26.962834,-0.700928,54.018598,2.959131,5.745152,129.793889,-55.950103,-2.161415,215.797328,39.654254,4.055092,-0.000071,0.002658,3712075316.180000,69.583084,-1.514621,-36.073917,-59.473515,-33.808048,61.584686,69.787849,-1.510836,0.000010,0.000020,-0.000041,0.000007,-0.000024,-0.000004,0.000005,0.000014,50.000076,0.002658,3712075316.180000,69.558968,-1.618101,-36.154898,-59.396459,-33.692179,61.623319,69.762903,-1.621436,-0.000007,0.000029,-0.000037,-0.000015,0.000039,-0.000041,-0.000010,-0.000003,50.000148,-0.000000,43.500000,3.226997,-6.164764,-6.948634,0.286908,3.760890,5.932089,-0.000006,-0.000035,-0.000021,0.000017,0.000048,-0.000013
3712075316.200000,0.154964,0.034560,0.001510,0.162900,0.034487,0.001592,0.172517,0.031447,0.001696,0.163465,0.033496,0.001600,55.450295,-30.394173,0.563310,45.126054,-37.208494,0.323618,70.397735,-65.073332,0.458448,166.602960,-8.732119,-2.113475,-0.000030,0.000251,3712075316.200000,69.584724,-1.513087,-36.072296,-59.474796,-33.808300,61.585148,69.788673,-1.509646,0.000004,0.000031,-0.000017,0.000014,0.000012,-0.000014,0.000011,0.000007,50.000191,0.000251,3712075316.200000,69.558320,-1.617623,-36.154454,-59.396817,-33.693208,61.623019,69.762801,-1.620742,0.000028,0.000035,-0.000019,0.000029,0.000013,-0.000053,-0.000013,0.000006,50.000221,-0.000000,43.500000,-2.283227,-6.572238,-4.547010,5.260703,6.898861,1.319197,-0.000045,-0.000015,-0.000032,-0.000021,0.000040,-0.000009
3712075316.220000,0.157113,0.033338,0.001535,0.162487,0.030774,0.001595,0.172449,0.032992,0.001692,0.164032,0.032363,0.001608,154.338861,-43.485546,-3.489270,126.243413,-73.022816,-2.878393,63.754302,-41.601946,0.643211,101.305811,-26.111855,-5.071725,-0.000057,-0.003261,3712075316.220000,69.584129,-1.510883,-36.070065,-59.473194,-33.808949,61.585262,69.787773,-1.508367,-0.000026,-0.000001,-0.000001,-0.000011,0.000016,-0.000022,-0.000012,-0.000006,50.000107,-0.003261,3712075316.220000,69.558539,-1.617161,-36.153765,-59.397300,-33.693560,61.622060,69.762681,-1.620047,0.000042,0.000018,0.000015,0.000039,-0.000001,-0.000047,-0.000013,0.000012,50.000164,-0.000000,43.500000,-6.354132,-2.833412,0.723191,6.915513,5.683800,-4.125275,-0.000003,0.000032,-0.000067,0.000011,0.000013,-0.000030
3712075316.240000,0.156505,0.028829,0.001538,0.160280,0.029303,0.001576,0.174324,0.033864,0.001710,0.163735,0.030680,0.001608,177.632641,-19.522294,-3.499306,157.455382,-29.922704,-3.929918,63.200062,-27.047954,-0.681889,126.128189,-67.715661,-3.858833,-0.000044,-0.005380,3712075316.240000,69.581696,-1.510581,-36.070278,-59.471527,-33.809902,61.584782,69.786545,-1.508251,0.000029,-0.000029,-0.000039,-0.000006,-0.000021,-0.000029,0.000008,-0.000014,49.999950,-0.005413,3712075316.240000,69.559237,-1.617132,-36.153340,-59.397217,-33.693149,61.621630,69.762626,-1.619976,-0.000046,0.000021,0.000033,0.000045,0.000003,-0.000049,-0.000049,0.000017,49.999995,-0.000033,43.500000,-6.416983,2.693283,5.536963,4.206801,0.882745,-6.967308,0.000047,-0.000005,-0.000014,0.000057,-0.000041,-0.000033
3712075316.260000,0.153490,0.025658,0.001513,0.159199,0.029984,0.001563,0.175329,0.031814,0.001724,0.162706,0.029157,0.001600,158.566569,-39.499869,-2.820889,110.553872,-59.685978,-4.638285,85.436004,-29.106671,0.994476,124.389767,-75.486566,-3.029476,-0.000020,-0.003477,3712075316.260000,69.579735,-1.512365,-36.071259,-59.470917,-33.809383,61.583206,69.785332,-1.509117,0.000050,-0.000007,-0.000038,-0.000005,0.000017,-0.000040,0.000015,-0.000002,49.999828,-0.003629,3712075316.260000,69.559519,-1.617230,-36.153343,-59.396646,-33.692450,61.621794,69.762486,-1.620333,-0.000074,0.000037,-0.000004,0.000095,-0.000034,-0.000050,-0.000060,0.000013,49.999848,-0.000152,43.500000,-2.431054,6.520667,6.857043,-1.156481,-4.475176,-5.413686,0.000037,-0.000036,0.000032,-0.000014,-0.000064,-0.000033
3712075316.280000,0.150869,0.027551,0.001483,0.158920,0.029584,0.001561,0.172766,0.028575,0.001704,0.160884,0.028573,0.001583,145.153495,-53.017178,-2.802710,96.658083,-70.700423,1.309170,90.934777,-43.574797,1.120199,111.837061,-81.375317,-2.189586,-0.000079,0.000783,3712075316.280000,69.580315,-1.514904,-36.071850,-59.469921,-33.806816,61.582596,69.784737,-1.510938,0.000047,0.000013,-0.000021,0.000006,0.000007,-0.000031,0.000008,0.000008,49.999737,0.000599,3712075316.280000,69.558827,-1.617652,-36.153953,-59.395962,-33.692226,61.622492,69.762324,-1.620945,-0.000103,0.000007,0.000003,0.000074,-0.000045,-0.000035,-0.000059,0.000010,49.999816,-0.000184,43.500000,3.089502,6.234105,3.850874,-5.790353,-7.009307,-0.444823,0.000001,-0.000059,0.000028,0.000011,-0.000031,0.000007
