Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF,I Freq,I_VA_real,I_VA_imag,I_VB_real,I_VB_imag,I_ VC_real,I_VC_imag,I_IA_real,I_IA_imag,I_IB_real,I_IB_imag,I_IC_real,I_IC_imag
3712073938.100000,0.153260,0.030275,0.001502,0.160429,0.031652,0.001573,0.173928,0.030137,0.001713,0.162565,0.030691,0.001596,129.057994,-42.743903,1.870215,116.529081,-80.567449,-3.744445,229.208042,91.775203,1.721505,128.634868,-68.845398,3.604085,-0.000090,0.011044,3712073938.100000,69.581444,-1.516987,-36.074017,-59.470375,-33.806324,61.583752,69.785858,-1.512518,0.000014,0.000044,-0.000001,-0.000023,0.000037,0.000013,-0.000006,0.000013,49.999905,0.011030,3712073938.100000,69.558028,-1.621018,-36.156045,-59.394775,-33.690646,61.622990,69.761944,-1.623408,0.000067,-0.000046,-0.000060,0.000099,0.000004,-0.000020,-0.000003,-0.000047,49.999994,-0.000014,17.000000,-2.204695,-6.603040,-4.613104,5.208549,6.885411,1.404766,0.000026,0.000017,0.000046,0.000022,-0.000063,0.000022
3712073938.120000,0.154333,0.032366,0.001509,0.161853,0.030077,0.001590,0.171940,0.028974,0.001695,0.162711,0.030462,0.001598,140.797977,-51.289259,3.841572,127.712144,-71.214742,-2.831119,130.128784,-32.937336,1.753439,112.196518,-76.326943,4.269823,0.000128,-0.004606,3712073938.120000,69.582710,-1.516628,-36.072632,-59.470161,-33.805248,61.583607,69.785759,-1.512322,-0.000028,0.000002,0.000027,-0.000020,0.000022,0.000018,-0.000009,0.000008,50.000153,-0.004612,3712073938.120000,69.557830,-1.621086,-36.156275,-59.394863,-33.691081,61.622949,69.762002,-1.623350,0.000042,-0.000041,-0.000068,0.000094,0.000021,-0.000038,-0.000016,-0.000048,50.000025,-0.000005,17.000000,6.756259,1.676399,-1.925885,-6.686140,-4.875678,5.060580,-0.000012,0.000024,-0.000050,0.000032,0.000008,-0.000077
3712073938.140000,0.156702,0.031390,0.001535,0.162017,0.028984,0.001594,0.170696,0.029617,0.001681,0.163152,0.029999,0.001603,66.346583,-66.341988,-0.013459,86.419529,-85.844531,0.265304,117.866605,-50.787216,4.562411,80.162730,-78.639746,0.338099,-0.000085,-0.004906,3712073938.140000,69.582153,-1.514924,-36.072098,-59.469772,-33.804604,61.584240,69.785454,-1.511955,0.000009,-0.000017,-0.000015,0.000010,-0.000021,0.000005,0.000000,-0.000011,49.999928,-0.004907,3712073938.140000,69.557912,-1.621223,-36.156355,-59.394990,-33.691065,61.622722,69.762012,-1.623364,0.000029,-0.000051,-0.000086,0.000097,-0.000003,-0.000044,-0.000016,-0.000050,50.000013,-0.000001,17.000000,-5.035710,4.806203,6.677135,1.956335,-1.660358,-6.828380,-0.000013,-0.000022,0.000009,-0.000036,0.000044,0.000047
3712073938.160000,0.156793,0.029003,0.001541,0.159685,0.028849,0.001570,0.172077,0.033487,0.001688,0.162879,0.030455,0.001600,119.809646,-68.615094,4.145777,104.365167,-64.744637,-4.762168,51.431237,-44.545571,0.346951,79.589400,-79.500492,-0.083089,0.000018,0.009939,3712073938.160000,69.580811,-1.514518,-36.073204,-59.468906,-33.805950,61.586308,69.785759,-1.512239,-0.000018,0.000008,-0.000034,-0.000011,0.000004,-0.000024,-0.000007,-0.000007,50.000019,0.009924,3712073938.160000,69.558220,-1.621245,-36.156115,-59.395051,-33.690687,61.622635,69.762004,-1.623387,0.000009,-0.000063,-0.000035,0.000096,-0.000008,-0.000044,-0.000030,-0.000038,50.000001,-0.000015,17.000000,-1.359700,-6.827143,-5.229661,4.589439,6.655114,2.256804,0.000017,-0.000012,-0.000009,0.000008,-0.000068,-0.000010
3712073938.180000,0.155767,0.027728,0.001533,0.160506,0.030601,0.001575,0.176021,0.032660,0.001729,0.164134,0.030340,0.001613,111.841436,-71.480387,4.410643,104.909117,-59.827373,-4.788124,107.303253,-13.298011,1.217279,121.792898,-78.191203,3.099449,0.000132,-0.007184,3712073938.180000,69.580109,-1.514915,-36.073433,-59.470039,-33.808022,61.584702,69.785774,-1.511384,-0.000016,0.000013,-0.000043,-0.000009,0.000019,-0.000028,0.000009,0.000008,50.000156,-0.007198,3712073938.180000,69.558418,-1.621100,-36.156011,-59.394961,-33.690465,61.622950,69.762080,-1.623440,-0.000027,-0.000067,-0.000031,0.000104,-0.000023,-0.000032,-0.000040,-0.000037,50.000025,-0.000014,17.000000,6.493083,2.509956,-1.072806,-6.874861,-5.471303,4.409608,0.000035,0.000062,0.000006,-0.000022,0.000034,-0.000057
3712073938.200000,0.153372,0.028907,0.001506,0.162195,0.031625,0.001591,0.175489,0.029366,0.001730,0.163709,0.029958,0.001609,122.992370,-54.007642,1.904375,83.133594,-82.961065,0.129776,118.071299,-41.706428,1.617361,80.134108,-80.133075,-0.009128,-0.000192,-0.005391,3712073938.200000,69.580704,-1.516639,-36.072964,-59.471050,-33.807114,61.582920,69.785515,-1.511619,0.000028,0.000013,-0.000008,0.000016,0.000035,-0.000004,-0.000007,-0.000007,49.999813,-0.005399,3712073938.200000,69.558233,-1.620958,-36.156076,-59.394815,-33.690638,61.623214,69.762093,-1.623430,0.000006,-0.000068,-0.000032,0.000101,-0.000010,-0.000060,-0.000037,-0.000036,50.000005,-0.000008,17.000000,-5.598275,4.137145,6.379426,2.777585,-0.791440,-6.982651,-0.000067,0.000013,0.000010,0.000024,0.000003,0.000054
3712073938.220000,0.153631,0.031287,0.001504,0.161370,0.030619,0.001584,0.171255,0.029038,0.001688,0.162099,0.030313,0.001592,115.117544,-62.655099,4.461069,133.445879,-64.187145,-2.716546,133.126800,-39.503304,4.369940,119.108096,-80.695009,3.297688,-0.000063,0.011489,3712073938.220000,69.582016,-1.516902,-36.073116,-59.470242,-33.804768,61.584042,69.785683,-1.512750,-0.000027,0.000010,0.000014,-0.000021,-0.000019,0.000020,0.000005,0.000006,49.999931,0.011475,3712073938.220000,69.557893,-1.621037,-36.156210,-59.394836,-33.691013,61.623106,69.762039,-1.623365,-0.000008,-0.000076,-0.000013,0.000069,-0.000020,-0.000040,-0.000029,-0.000028,49.999994,-0.000014,17.000000,-0.493593,-6.943874,-5.763584,3.897747,6.319468,3.073042,0.000032,-0.000037,-0.000060,-0.000037,-0.000033,-0.000025
3712073938.240000,0.156983,0.031491,0.001538,0.161609,0.029061,0.001590,0.169985,0.031978,0.001669,0.162876,0.030848,0.001599,100.937997,-75.153772,1.484387,127.673470,-60.814080,-2.224331,157.400069,-27.478221,2.286350,126.944689,-70.919293,2.704469,0.000140,-0.006456,3712073938.240000,69.582184,-1.514745,-36.072353,-59.469707,-33.804676,61.586227,69.786072,-1.512290,0.000016,-0.000011,0.000027,-0.000009,0.000033,-0.000005,0.000012,0.000003,50.000168,-0.006456,3712073938.240000,69.557868,-1.621228,-36.156328,-59.395034,-33.691053,61.622864,69.762044,-1.623378,-0.000038,-0.000069,-0.000024,0.000069,-0.000035,-0.000030,-0.000032,-0.000027,50.000028,-0.000000,17.000000,6.127235,3.303868,-0.202818,-6.955135,-5.980918,3.689077,-0.000004,0.000033,0.000039,-0.000049,0.000048,0.000011
3712073938.260000,0.157355,0.028595,0.001547,0.160385,0.028650,0.001578,0.172652,0.034262,0.001692,0.163486,0.030516,0.001606,146.586318,-48.260049,2.589491,117.819175,-72.690582,-4.100910,142.311347,-0.336592,4.696348,116.521898,-48.883385,1.665274,-0.000098,-0.003670,3712073938.260000,69.580460,-1.514088,-36.072754,-59.469021,-33.806377,61.586765,69.785805,-1.511901,0.000012,0.000035,-0.000005,-0.000017,-0.000011,0.000034,0.000016,0.000001,49.999912,-0.003680,3712073938.260000,69.558144,-1.621273,-36.156182,-59.395013,-33.690588,61.622761,69.761998,-1.623471,0.000016,-0.000070,-0.000039,0.000050,-0.000034,-0.000012,-0.000000,-0.000031,50.000011,-0.000010,17.000000,-6.072803,3.402912,5.980960,3.555214,0.089942,-7.026748,-0.000006,0.000003,0.000017,0.000059,-0.000015,0.000010
3712073938.280000,0.154134,0.027781,0.001516,0.158225,0.030668,0.001552,0.175487,0.032148,0.001725,0.162654,0.030207,0.001598,130.842202,-51.334100,4.202413,104.793942,-78.171497,-1.686796,123.459695,-56.857175,4.309761,106.481425,-38.571342,1.371262,-0.000040,0.009745,3712073938.280000,69.580048,-1.516076,-36.074802,-59.469170,-33.807381,61.584507,69.785568,-1.512463,-0.000014,0.000019,0.000012,0.000007,0.000007,0.000023,0.000009,-0.000006,49.999958,0.009729,3712073938.280000,69.558345,-1.621099,-36.155967,-59.394895,-33.690273,61.622919,69.761989,-1.623489,-0.000020,-0.000045,-0.000037,0.000050,-0.000056,-0.000005,-0.000007,-0.000017,49.999998,-0.000016,17.000000,0.380876,-6.950981,-6.206594,3.144658,5.884707,3.840686,0.000007,-0.000006,-0.000046,-0.000041,0.000001,-0.000032
