Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,REF_VC_real,REF_VC_imag,REF_Vp_real,REF_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF,I Freq,I_VA_real,I_VA_imag,I_VB_real,I_VB_imag,I_ VC_real,I_VC_imag,I_IA_real,I_IA_imag,I_IB_real,I_IB_imag,I_IC_real,I_IC_imag
3712073873.100000,0.152998,0.028812,0.001502,0.161831,0.031846,0.001586,0.170579,0.027972,0.001682,0.161814,0.029541,0.001591,129.803660,-66.549758,-3.683926,181.062289,-4.455757,3.916362,16.466193,-14.814472,0.077899,138.909337,125.019566,0.406419,-0.000094,0.001140,3712073873.100000,69.579941,-1.517590,-36.074108,-59.469894,-33.803036,61.583431,69.784592,-1.513722,0.000020,-0.000012,-0.000017,0.000031,0.000006,0.000042,0.000009,-0.000016,49.999901,0.001128,3712073873.100000,69.557542,-1.621657,-36.156892,-59.393677,-33.689952,61.622979,69.761487,-1.624247,-0.000070,0.000000,-0.000010,-0.000036,0.000011,0.000049,0.000001,-0.000008,49.999995,-0.000011,15.500000,-6.636398,-2.102231,1.497487,6.794559,5.187031,-4.741023,-0.000071,0.000068,0.000015,0.000024,-0.000009,0.000005
3712073873.120000,0.154465,0.030666,0.001514,0.161083,0.029763,0.001583,0.168124,0.030486,0.001653,0.161241,0.030307,0.001583,147.601066,-46.151400,-2.541226,169.011677,8.678371,1.886759,133.606754,27.599372,-5.049078,22.592274,-8.326694,-0.219791,0.000027,0.001141,3712073873.120000,69.581009,-1.517074,-36.073715,-59.468658,-33.802109,61.585785,69.785049,-1.514302,0.000027,0.000010,0.000024,0.000029,-0.000033,-0.000016,0.000001,0.000016,50.000042,0.001141,3712073873.120000,69.557302,-1.621897,-36.157039,-59.393807,-33.689983,61.622793,69.761421,-1.624308,-0.000052,0.000014,0.000019,-0.000030,-0.000020,0.000020,-0.000002,0.000018,50.000015,-0.000001,15.500000,4.397312,-5.396688,-6.868901,-1.109005,2.498425,6.568057,-0.000036,-0.000058,0.000002,0.000036,-0.000013,0.000005
3712073873.140000,0.156306,0.029733,0.001534,0.160058,0.029332,0.001573,0.171772,0.032929,0.001686,0.162741,0.030675,0.001598,104.126424,-42.542167,-1.355138,187.691867,-10.133360,2.838157,141.270342,-55.983572,-2.716518,79.456658,-60.789553,0.841746,0.000081,-0.000592,3712073873.140000,69.580627,-1.515644,-36.073753,-59.468102,-33.804676,61.585964,69.785248,-1.513217,0.000007,0.000037,-0.000022,0.000027,0.000026,-0.000001,-0.000010,0.000008,50.000111,-0.000601,3712073873.140000,69.557538,-1.621917,-36.156661,-59.393854,-33.689726,61.622565,69.761342,-1.624234,-0.000060,0.000025,0.000032,-0.000021,-0.000054,0.000026,-0.000003,0.000032,50.000029,-0.000008,15.500000,3.398881,6.075173,3.559794,-5.978247,-7.026537,-0.095107,0.000049,-0.000032,-0.000035,0.000030,0.000014,0.000003
3712073873.160000,0.154158,0.026273,0.001519,0.159495,0.029929,0.001566,0.174665,0.031865,0.001717,0.162807,0.029363,0.001601,84.772770,-73.642332,0.842608,48.914070,-48.465136,-0.092136,147.401502,-44.336113,2.457630,78.715276,-77.347059,0.308237,-0.000062,-0.001241,3712073873.160000,69.578499,-1.516550,-36.074261,-59.468163,-33.805984,61.584385,69.784401,-1.513015,-0.000018,0.000002,0.000021,-0.000016,0.000030,-0.000009,-0.000006,0.000011,49.999943,-0.001261,3712073873.160000,69.557840,-1.621799,-36.156545,-59.393807,-33.689455,61.622705,69.761405,-1.624270,-0.000040,0.000057,0.000044,-0.000028,-0.000053,-0.000022,-0.000010,0.000055,50.000005,-0.000020,15.500000,-6.899505,0.923716,4.248232,5.510528,2.675056,-6.498361,0.000010,0.000021,-0.000003,-0.000044,-0.000019,-0.000008
3712073873.180000,0.151463,0.027315,0.001490,0.159538,0.030330,0.001566,0.174124,0.029357,0.001716,0.161741,0.029003,0.001591,96.503423,-71.885747,-4.978278,86.863367,-68.231950,-0.994173,77.262179,-31.238365,-0.880339,133.043170,-58.600090,-3.904236,-0.000045,-0.000187,3712073873.180000,69.579079,-1.518433,-36.074501,-59.468304,-33.805195,61.583279,69.784225,-1.513733,-0.000013,-0.000012,-0.000002,-0.000019,0.000001,0.000024,-0.000009,-0.000011,49.999962,-0.000198,3712073873.180000,69.557740,-1.621633,-36.156621,-59.393722,-33.689574,61.623109,69.761496,-1.624284,-0.000054,0.000033,0.000046,-0.000039,-0.000026,0.000023,-0.000003,0.000034,50.000007,-0.000011,15.500000,1.681348,-6.755392,-6.687446,1.921351,5.057405,4.879268,-0.000006,0.000007,0.000075,0.000033,0.000025,-0.000017
3712073873.200000,0.153092,0.031026,0.001499,0.161460,0.031004,0.001584,0.171331,0.028068,0.001690,0.161970,0.030030,0.001591,148.286245,-47.312213,2.634753,128.241265,-67.511925,-2.549167,113.405214,-33.955403,1.456904,130.708763,-65.119257,-2.570236,-0.000019,0.000078,3712073873.200000,69.581291,-1.517901,-36.073696,-59.469334,-33.803535,61.583332,69.784866,-1.513638,0.000025,-0.000007,-0.000019,-0.000010,0.000005,-0.000014,0.000012,-0.000002,50.000004,0.000078,3712073873.200000,69.557357,-1.621693,-36.156659,-59.393693,-33.689960,61.623074,69.761420,-1.624203,-0.000048,-0.000011,0.000064,-0.000007,-0.000020,-0.000010,-0.000024,0.000024,50.000023,-0.000000,15.500000,5.661954,4.049896,0.675575,-6.924962,-6.398356,2.905911,-0.000040,-0.000014,-0.000018,0.000062,0.000012,0.000050
3712073873.220000,0.155660,0.031573,0.001524,0.161351,0.028970,0.001587,0.168362,0.028983,0.001658,0.161796,0.029836,0.001590,195.126066,10.362884,3.908459,120.931658,-63.949282,2.050064,146.464912,-13.634985,-4.479106,40.277306,-28.784914,-0.335411,-0.000028,0.000405,3712073873.220000,69.581779,-1.516391,-36.072994,-59.468517,-33.802197,61.584648,69.784828,-1.513676,-0.000012,0.000012,-0.000014,0.000020,-0.000014,-0.000010,-0.000002,0.000010,49.999981,0.000401,3712073873.220000,69.557426,-1.621920,-36.156855,-59.393986,-33.690263,61.622755,69.761519,-1.624145,0.000001,-0.000015,0.000068,0.000007,-0.000007,0.000018,-0.000007,0.000012,50.000009,-0.000004,15.500000,-5.850089,3.773529,6.190169,3.177402,-0.346585,-7.018818,0.000005,-0.000041,-0.000076,-0.000036,-0.000059,-0.000009
3712073873.240000,0.156242,0.029803,0.001534,0.159062,0.027631,0.001566,0.170410,0.031814,0.001674,0.161927,0.029753,0.001591,128.979622,-41.641032,4.431996,163.618013,-29.920338,-3.703654,123.902131,-46.797970,1.810025,106.497752,-36.197089,4.927919,0.000054,0.001937,3712073873.240000,69.580902,-1.515847,-36.073826,-59.467148,-33.803848,61.585754,69.784874,-1.513670,-0.000033,0.000007,-0.000044,-0.000001,-0.000031,0.000011,-0.000019,0.000001,50.000057,0.001926,3712073873.240000,69.557765,-1.622064,-36.156930,-59.394164,-33.689996,61.622647,69.761620,-1.624244,0.000005,-0.000058,0.000052,0.000034,0.000035,0.000052,-0.000008,-0.000029,50.000003,-0.000010,15.500000,-1.354917,-6.828392,-5.233208,4.585729,6.653395,2.261472,0.000038,0.000004,0.000058,-0.000046,0.000057,-0.000018
3712073873.260000,0.154746,0.028608,0.001521,0.159463,0.030394,0.001565,0.174576,0.033514,0.001713,0.162963,0.030843,0.001600,242.578451,131.200563,-1.470947,110.084359,-20.641654,1.304344,122.289650,-36.069205,1.638704,31.200276,-15.623830,-0.295077,0.000036,-0.001818,3712073873.260000,69.580170,-1.516521,-36.074635,-59.468700,-33.806362,61.585644,69.785599,-1.513125,-0.000052,-0.000024,-0.000007,0.000039,-0.000033,0.000035,-0.000011,-0.000017,50.000061,-0.001831,3712073873.260000,69.557884,-1.621856,-36.156679,-59.394113,-33.689526,61.622811,69.761572,-1.624274,0.000008,-0.000024,0.000045,0.000021,0.000058,0.000048,-0.000007,-0.000023,50.000025,-0.000013,15.500000,6.847751,1.253662,-2.337183,-6.553629,-4.551725,5.353369,-0.000013,0.000048,-0.000003,0.000034,-0.000016,0.000038
3712073873.280000,0.152990,0.029195,0.001502,0.161232,0.031368,0.001581,0.174823,0.029955,0.001722,0.163042,0.030167,0.001602,84.220298,-48.408982,-1.000734,90.124843,-67.275535,-1.103483,99.252903,-69.163051,1.391516,94.906405,-70.915996,1.249187,-0.000050,-0.002249,3712073873.280000,69.580551,-1.517585,-36.073971,-59.469742,-33.805969,61.583450,69.785217,-1.512862,-0.000022,-0.000002,0.000016,0.000007,-0.000023,0.000014,0.000012,-0.000005,49.999958,-0.002258,3712073873.280000,69.557886,-1.621590,-36.156622,-59.393994,-33.689773,61.623117,69.761659,-1.624168,-0.000019,-0.000039,0.000003,0.000052,0.000032,0.000083,-0.000004,-0.000044,50.000008,-0.000010,15.500000,-3.686378,5.905162,6.954138,0.239439,-3.301762,-6.203281,-0.000051,-0.000024,-0.000014,-0.000011,0.000032,-0.000024
