Timestamp,Inst. Freq,Inst ROCOF,Ref Freq,Ref ROCOF
3725554890.020000,46.423222,-74.431816,0.000000,0.000000
3725554890.040000,44.510487,-56.874729,0.000000,0.000000
3725554890.060000,45.029907,-15.330073,0.000000,0.000000
3725554890.080000,45.008293,1.267543,0.000000,0.000000
3725554890.100000,44.999218,-0.075201,0.000000,0.000000
3725554890.120000,44.999863,0.003587,0.000000,0.000000
3725554890.140000,44.999924,0.006582,0.000000,0.000000
3725554890.160000,45.000080,0.002538,0.000000,0.000000
3725554890.180000,45.000179,-0.000971,0.000000,0.000000
3725554890.200000,44.999977,-0.003689,0.000000,0.000000
3725554890.220000,44.999809,-0.001051,0.000000,0.000000
3725554890.240000,44.999863,0.003174,0.000000,0.000000
3725554890.260000,45.000134,0.004094,0.000000,0.000000
3725554890.280000,45.000244,-0.000016,0.000000,0.000000
3725554890.300000,45.000015,-0.003231,0.000000,0.000000
3725554890.320000,44.999901,-0.003412,0.000000,0.000000
3725554890.340000,44.999897,0.000283,0.000000,0.000000
3725554890.360000,44.999973,0.003404,0.000000,0.000000
3725554890.380000,45.000103,0.000841,0.000000,0.000000
3725554890.400000,45.000126,-0.000260,0.000000,0.000000
3725554890.420000,44.999931,-0.000954,0.000000,0.000000
3725554890.440000,44.999989,-0.001371,0.000000,0.000000
3725554890.460000,45.000053,0.000447,0.000000,0.000000
3725554890.480000,44.999947,0.000383,0.000000,0.000000
3725554890.500000,44.999996,-0.000252,0.000000,0.000000
3725554890.520000,45.000050,-0.000110,0.000000,0.000000
3725554890.540000,44.999973,0.000048,0.000000,0.000000
3725554890.560000,44.999947,0.000551,0.000000,0.000000
3725554890.580000,45.000042,0.000832,0.000000,0.000000
3725554890.600000,45.000084,-0.000326,0.000000,0.000000
3725554890.620000,44.999969,-0.000934,0.000000,0.000000
3725554890.640000,44.999947,-0.000508,0.000000,0.000000
3725554890.660000,45.000015,-0.000007,0.000000,0.000000
3725554890.680000,45.000004,0.000644,0.000000,0.000000
3725554890.700000,44.999958,0.000124,0.000000,0.000000
3725554890.720000,45.000046,-0.000645,0.000000,0.000000
3725554890.740000,44.999985,0.000702,0.000000,0.000000
3725554890.760000,44.999954,-0.000128,0.000000,0.000000
3725554890.780000,45.000050,-0.000200,0.000000,0.000000
3725554890.800000,45.000015,0.000102,0.000000,0.000000
3725554890.820000,44.999947,-0.000114,0.000000,0.000000
3725554890.840000,45.000000,-0.000013,0.000000,0.000000
3725554890.860000,45.000053,-0.000225,0.000000,0.000000
3725554890.880000,44.999939,0.000448,0.000000,0.000000
3725554890.900000,44.999966,0.000195,0.000000,0.000000
3725554890.920000,45.000076,0.000369,0.000000,0.000000
3725554890.940000,45.000004,0.000318,0.000000,0.000000
3725554890.960000,44.999958,-0.000748,0.000000,0.000000
3725554890.980000,45.000027,-0.000483,0.000000,0.000000
3725554891.000000,45.000008,0.000019,0.000000,0.000000
3725554891.020000,44.999928,0.000125,0.000000,0.000000
3725554891.040000,45.000000,0.000754,0.000000,0.000000
3725554891.060000,45.000046,0.000428,0.000000,0.000000
3725554891.080000,45.000103,-0.000168,0.000000,0.000000
3725554891.100000,45.037529,0.693950,0.000000,0.000000
3725554891.120000,44.843864,34.715294,0.000000,0.000000
3725554891.140000,44.836300,110.935028,0.000000,0.000000
3725554891.160000,48.778511,144.239395,0.000000,0.000000
