Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,RE_ VC_real,REF_VC_imag,REF_Vp_real,PMU_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3706694842.080000,0.162237,0.035134,0.001584,0.167293,0.029650,0.001646,0.173668,0.032444,0.001706,0.167729,0.032406,0.001645,0.100335,0.014732,0.000992,0.110214,0.019446,0.001085,0.097394,0.015701,0.000961,0.102660,0.016730,0.001013,-0.000069,0.000007,3706694842.080000,-18.379795,67.134842,67.293716,-17.626844,-49.398598,-49.968678,-18.445402,67.330368,-1.384106,4.709505,4.855666,-1.176700,-3.460572,-3.630473,-1.402229,4.771726,51.199913,-0.000040,3706694842.080000,-18.267040,67.140275,67.244670,-17.732342,-49.467714,-49.868160,-18.328651,67.338805,-1.379228,4.710182,4.853443,-1.181737,-3.463516,-3.626576,-1.397162,4.772345,51.199982,-0.000047
3706694842.100000,0.163633,0.031753,0.001605,0.163058,0.028361,0.001605,0.174314,0.037252,0.001703,0.167004,0.032471,0.001638,0.099134,0.014640,0.000980,0.110285,0.019403,0.001086,0.097486,0.015449,0.000962,0.102311,0.016538,0.001010,-0.000011,0.001236,3706694842.100000,-28.256725,63.609177,69.177177,-7.320115,-41.333336,-56.824997,-28.350378,63.795547,-2.075877,4.448190,4.977340,-0.433879,-2.875895,-4.109155,-2.103161,4.506938,51.199978,0.001197,3706694842.100000,-28.145661,63.634240,69.145725,-7.429062,-41.414596,-56.733408,-28.236680,63.821174,-2.071211,4.449572,4.975901,-0.439197,-2.879404,-4.105751,-2.098263,4.508313,51.199989,-0.000039
3706694842.120000,0.161885,0.028178,0.001594,0.161814,0.031894,0.001586,0.179062,0.038803,0.001748,0.167602,0.032988,0.001643,0.098521,0.014488,0.000974,0.109687,0.019842,0.001079,0.096514,0.017402,0.000949,0.101556,0.017153,0.001001,0.000060,0.001271,3706694842.120000,-37.490059,58.640888,69.494232,3.153795,-32.325691,-62.391876,-37.612854,58.812862,-2.720551,4.085917,4.986087,0.318771,-2.226065,-4.494607,-2.756354,4.139910,51.200058,0.001235,3706694842.120000,-37.386008,58.684034,69.476988,3.042594,-32.422106,-62.311106,-37.503804,58.855165,-2.716175,4.087974,4.985439,0.313330,-2.229942,-4.491711,-2.751737,4.141956,51.199998,-0.000036
3706694842.140000,0.159152,0.028028,0.001566,0.164742,0.035013,0.001609,0.181226,0.035229,0.001777,0.168398,0.032769,0.001652,0.097987,0.013790,0.000970,0.108868,0.020794,0.001069,0.093423,0.017310,0.000918,0.100053,0.017216,0.000986,0.000052,-0.000635,3706694842.140000,-45.872578,52.344578,68.233345,13.559808,-22.583374,-66.538231,-46.021503,52.494461,-3.303491,3.630892,4.881710,1.064171,-1.525751,-4.777993,-3.346974,3.678938,51.200054,-0.000657,3706694842.140000,-45.777697,52.401682,68.231191,13.445261,-22.693607,-66.474569,-45.919697,52.553174,-3.299512,3.633594,4.881829,1.058734,-1.529871,-4.775763,-3.342771,3.681601,51.200002,-0.000022
3706694842.160000,0.156927,0.030206,0.001540,0.168689,0.034437,0.001651,0.179524,0.031216,0.001768,0.168400,0.031946,0.001653,0.099030,0.013002,0.000982,0.107991,0.018484,0.001064,0.095310,0.014864,0.000941,0.100729,0.015217,0.000996,-0.000018,-0.000791,3706694842.160000,-53.215492,44.861614,65.420441,23.658691,-12.331543,-69.172958,-53.384834,44.984646,-3.811513,3.093382,4.666391,1.785406,-0.790514,-4.952865,-3.861646,3.134302,51.199982,-0.000808,3706694842.160000,-53.130308,44.929925,65.436880,23.542537,-12.449909,-69.129473,-53.293369,45.058444,-3.807980,3.096720,4.667425,1.780112,-0.795058,-4.951383,-3.857936,3.137668,51.200000,-0.000018
3706694842.180000,0.159035,0.033985,0.001553,0.168682,0.032247,0.001655,0.176507,0.030526,0.001738,0.168075,0.032243,0.001649,0.099328,0.014567,0.000982,0.106962,0.017208,0.001056,0.098456,0.014937,0.000973,0.101567,0.015432,0.001004,-0.000035,-0.000291,3706694842.180000,-59.353523,36.358883,61.122509,33.217560,-1.801994,-70.239952,-59.536869,36.454765,-4.233067,2.485726,4.345192,2.466088,-0.037371,-5.015425,-4.288713,2.518598,51.199963,-0.000320,3706694842.180000,-59.276829,36.438652,61.157693,33.105654,-1.923496,-70.215280,-59.457494,36.541126,-4.230007,2.489521,4.347045,2.461076,-0.042246,-5.014637,-4.285521,2.522513,51.199997,-0.000028
3706694842.200000,0.162837,0.034200,0.001592,0.166701,0.029693,0.001640,0.174076,0.033676,0.001708,0.167878,0.032528,0.001647,0.099561,0.013721,0.000986,0.108202,0.017665,0.001067,0.097974,0.015596,0.000967,0.101916,0.015683,0.001007,0.000001,0.000376,3706694842.200000,-64.143211,27.027441,55.438015,42.020905,8.768624,-69.715897,-64.337814,27.097271,-4.558472,1.821613,3.925407,3.090925,0.716485,-4.964175,-4.618447,1.845749,51.199997,0.000346,3706694842.200000,-64.078194,27.120233,55.490383,41.917477,8.646653,-69.707294,-64.272200,27.194334,-4.556049,1.825857,3.928010,3.086188,0.711572,-4.964092,-4.615862,1.850109,51.199996,-0.000029
3706694842.220000,0.163143,0.030038,0.001603,0.164098,0.029134,0.001615,0.176185,0.037603,0.001721,0.167815,0.032280,0.001647,0.099085,0.014368,0.000980,0.108470,0.018321,0.001069,0.097340,0.015174,0.000961,0.101648,0.016033,0.001004,-0.000002,0.000942,3706694842.220000,-67.473320,17.083302,48.497055,49.870579,19.143593,-67.609879,-67.678238,17.124599,-4.780438,1.116187,3.416573,3.645568,1.454069,-4.800229,-4.843348,1.131033,51.199993,0.000911,3706694842.220000,-67.425590,17.186297,48.563368,49.777705,19.020061,-67.617297,-67.628120,17.230449,-4.778655,1.120712,3.419841,3.641246,1.449233,-4.800896,-4.841434,1.135711,51.199996,-0.000031
3706694842.240000,0.160487,0.027937,0.001580,0.163284,0.032436,0.001600,0.180371,0.038580,0.001762,0.168063,0.033002,0.001648,0.098405,0.015256,0.000972,0.106577,0.019291,0.001048,0.096031,0.014335,0.000949,0.100332,0.016277,0.000990,0.000048,-0.000354,3706694842.240000,-69.272530,6.754605,40.456810,56.591362,29.085783,-63.966278,-69.483269,6.763221,-4.893970,0.385381,2.830272,4.117424,2.158608,-4.527331,-4.958328,0.390671,51.200043,-0.000387,3706694842.240000,-69.242426,6.862140,40.534159,56.508228,28.961880,-63.992729,-69.449111,6.875426,-4.892847,0.390079,2.834039,4.113661,2.154000,-4.528730,-4.957132,0.395515,51.199995,-0.000033
3706694842.260000,0.157587,0.028929,0.001549,0.166065,0.035957,0.001621,0.182231,0.034730,0.001789,0.168654,0.033210,0.001653,0.099363,0.015662,0.000981,0.108071,0.018652,0.001064,0.099076,0.015110,0.000979,0.102105,0.016009,0.001008,0.000022,-0.000264,3706694842.260000,-69.501915,-3.726486,31.496023,62.029583,38.365166,-58.867699,-69.710876,-3.752094,-4.896338,-0.354245,2.179540,4.495875,2.814345,-4.151634,-4.960724,-0.358706,51.200020,-0.000292,3706694842.260000,-69.487501,-3.617787,31.585172,61.956170,38.246531,-58.915763,-69.693839,-3.635632,-4.895916,-0.349387,2.183917,4.492715,2.809855,-4.153760,-4.960289,-0.353647,51.199998,-0.000028
