Timestamp,TVE_VA,ME_VA,PE_VA,TVE_VB,ME_VB,PE_VB,TVE_VC,ME_VC,PE_VC,TVE_Vp,ME_Vp,PE_Vp,TVE_IA,ME_IA,PE_IA,TVE_IB,ME_IB,PE_IB,TVE_IC,ME_IC,PE_IC,TVE_Ip,ME_Ip,PE_Ip,FE,RFE,Timestamp,PMU_VA_real,PMU_VA_imag,PMU_VB_real,PMU_VB_imag,PMU_VC_real,PMU_VC_imag,PMU_Vp_real,PMU_Vp_imag,PMU_IA_real,PMU_IA_imag,PMU_IB_real,PM_ IB_imag,PMU_IC_real,PMU_IC_imag,PMU_Ip_real,PMU_Ip_imag,PMU_FREQ,PMU_ROCOF,Timestamp,REF_VA_real,REF_VA_imag,REF_VB_real,REF_VB_imag,RE_ VC_real,REF_VC_imag,REF_Vp_real,PMU_Vp_imag,REF_IA_real,REF_IA_imag,REF_IB_real,REF_IB_imag,REF_IC_real,REF_IC_imag,REF_Ip_real,PMU_Ip_imag,REF_FREQ,REF_ROCOF
3706694158.080000,0.153546,0.029356,0.001507,0.157728,0.035887,0.001536,0.173911,0.038752,0.001695,0.161748,0.034682,0.001580,0.095850,0.014875,0.000947,0.107163,0.019565,0.001054,0.096453,0.016470,0.000950,0.099820,0.016915,0.000984,0.000039,-0.000498,3706694158.080000,25.085552,-64.926575,-68.738052,10.723602,44.084133,54.722485,25.172222,-65.118835,1.850548,-4.546233,-4.949249,0.682438,3.077868,3.960022,1.874902,-4.606380,48.900032,-0.000513,3706694158.080000,24.980352,-64.945238,-68.696851,10.825261,44.159715,54.626512,25.060639,-65.135925,1.845968,-4.547306,-4.947559,0.687517,3.081122,3.956443,1.870053,-4.607443,48.899993,-0.000015
3706694158.100000,0.149847,0.032309,0.001463,0.161552,0.037441,0.001571,0.173737,0.034031,0.001703,0.161731,0.034595,0.001580,0.097379,0.015404,0.000961,0.108250,0.018845,0.001066,0.097142,0.014845,0.000960,0.100956,0.016497,0.000996,-0.000018,-0.000701,3706694158.100000,15.897962,-67.766022,-66.606071,20.090969,51.201733,48.124481,15.959289,-67.966103,1.206544,-4.757909,-4.808025,1.357841,3.594118,3.498097,1.222339,-4.820789,48.899975,-0.000710,3706694158.100000,15.793701,-67.767312,-66.549505,20.188040,51.266188,48.020851,15.846427,-67.967714,1.201783,-4.758334,-4.805670,1.362708,3.596940,3.494127,1.217337,-4.821208,48.899993,-0.000009
3706694158.120000,0.152456,0.036496,0.001480,0.163106,0.034385,0.001594,0.169158,0.031991,0.001661,0.161560,0.034279,0.001579,0.094842,0.015756,0.000935,0.106757,0.019350,0.001050,0.097180,0.014568,0.000961,0.099605,0.016535,0.000982,0.000008,-0.000638,3706694158.120000,6.409803,-69.312332,-63.201565,29.075365,57.344688,40.607819,6.441879,-69.516678,0.539341,-4.878868,-4.575015,2.007487,4.041831,2.969495,0.546352,-4.943254,48.900005,-0.000655,3706694158.120000,6.304916,-69.296452,-63.133426,29.166051,57.393690,40.499569,6.329966,-69.502935,0.534694,-4.878601,-4.572020,2.011899,4.044093,2.965178,0.541407,-4.942971,48.899997,-0.000017
3706694158.140000,0.157844,0.033933,0.001541,0.159164,0.030799,0.001561,0.167831,0.037111,0.001636,0.161621,0.033958,0.001580,0.090195,0.014414,0.000890,0.105466,0.016991,0.001041,0.095147,0.014385,0.000940,0.096947,0.015107,0.000958,-0.000015,0.000638,3706694158.140000,-3.198311,-69.532928,-58.589844,37.507164,62.396088,32.319092,-3.198145,-69.740982,-0.138233,-4.906618,-4.254634,2.618690,4.412495,2.384166,-0.140089,-4.971325,48.899990,0.000628,3706694158.140000,-3.304355,-69.504332,-58.513190,37.587019,62.425726,32.204988,-3.307199,-69.712170,-0.142581,-4.905786,-4.251184,2.622671,4.414100,2.379673,-0.144827,-4.970438,48.900005,-0.000010
3706694158.160000,0.155864,0.029145,0.001531,0.155122,0.031713,0.001518,0.171949,0.041134,0.001669,0.160978,0.034034,0.001573,0.093489,0.016155,0.000921,0.107649,0.017517,0.001062,0.094914,0.014298,0.000938,0.098737,0.016186,0.000974,-0.000038,0.000110,3706694158.160000,-12.749054,-68.426201,-52.861683,45.224663,66.255501,23.415644,-12.777710,-68.634964,-0.812874,-4.840905,-3.853312,3.179903,4.698939,1.753439,-0.823682,-4.904691,48.899967,0.000110,3706694158.160000,-12.850049,-68.386671,-52.776224,45.290504,66.267236,23.295433,-12.881281,-68.591433,-0.817199,-4.839373,-3.849258,3.183436,4.699910,1.748779,-0.828325,-4.903093,48.900006,-0.000001
3706694158.180000,0.151233,0.029849,0.001482,0.157818,0.036195,0.001536,0.174425,0.036059,0.001706,0.161187,0.034040,0.001575,0.094672,0.017205,0.000931,0.106905,0.020053,0.001050,0.095897,0.013863,0.000949,0.099166,0.017070,0.000977,0.000049,-0.000252,3706694158.180000,-22.058712,-66.016563,-46.128429,52.078407,68.846527,14.064449,-22.112938,-66.219742,-1.472150,-4.682824,-3.378452,3.680683,4.895736,1.089312,-1.491663,-4.744494,48.900051,-0.000258,3706694158.180000,-22.149936,-65.964102,-46.031730,52.130323,68.845599,13.941932,-22.209663,-66.162305,-1.476255,-4.680646,-3.373909,3.683490,4.896089,1.084516,-1.496041,-4.742226,48.900002,-0.000006
3706694158.200000,0.151289,0.034924,0.001472,0.163218,0.035663,0.001592,0.170232,0.031141,0.001673,0.161570,0.033896,0.001579,0.096016,0.016471,0.000946,0.108455,0.019592,0.001067,0.094347,0.014216,0.000933,0.099604,0.016707,0.000982,-0.000010,0.000254,3706694158.200000,-30.946449,-62.349773,-38.515118,57.935493,70.125076,4.441669,-31.026146,-62.541172,-2.103359,-4.435363,-2.839145,4.111044,4.999178,0.404284,-2.131174,-4.493736,48.899986,0.000248,3706694158.200000,-31.027344,-62.282409,-38.409111,57.976078,70.110577,4.322974,-31.114343,-62.470914,-2.107207,-4.432642,-2.834203,4.113264,4.998842,0.399564,-2.135228,-4.490891,48.899996,-0.000007
3706694158.220000,0.155421,0.037951,0.001507,0.161949,0.031208,0.001589,0.166089,0.033767,0.001626,0.161131,0.034309,0.001574,0.096493,0.016927,0.000950,0.105623,0.019397,0.001038,0.093659,0.014579,0.000925,0.098564,0.016811,0.000971,-0.000031,0.000266,3706694158.220000,-39.242153,-57.493462,-30.163582,62.687870,70.069565,-5.265849,-39.348263,-57.669643,-2.694446,-4.103334,-2.245492,4.463077,5.007222,-0.288439,-2.730077,-4.157223,48.899963,0.000254,3706694158.220000,-39.313824,-57.412475,-30.054560,62.716145,70.037261,-5.377955,-39.425465,-57.587877,-2.697886,-4.100079,-2.240423,4.464540,5.006223,-0.293028,-2.733654,-4.153871,48.899994,-0.000013
3706694158.240000,0.157267,0.033006,0.001537,0.156553,0.031208,0.001534,0.168677,0.038275,0.001642,0.160849,0.034174,0.001572,0.095169,0.016292,0.000938,0.101603,0.016933,0.001002,0.093993,0.012614,0.000931,0.096881,0.015056,0.000957,0.000015,0.000950,3706694158.240000,-46.786709,-51.536850,-21.235119,66.247246,68.678223,-14.870020,-46.919289,-51.697567,-3.234233,-3.692866,-1.608930,4.729855,4.919636,-0.975590,-3.276875,-3.741293,48.900013,0.000945,3706694158.240000,-46.850422,-51.447878,-21.126886,66.259062,68.627439,-14.977068,-46.984417,-51.606134,-3.237166,-3.689231,-1.603919,4.730663,4.918105,-0.980048,-3.279960,-3.737592,48.899997,-0.000005
3706694158.260000,0.154043,0.028060,0.001514,0.157080,0.035156,0.001531,0.173460,0.037874,0.001692,0.161538,0.033716,0.001580,0.096001,0.016358,0.000946,0.105536,0.018058,0.001040,0.095672,0.013819,0.000947,0.099070,0.016026,0.000978,0.000091,-0.000404,3706694158.260000,-53.440186,-44.595703,-11.904623,68.543411,65.974968,-24.188816,-53.594612,-44.739571,-3.712224,-3.212046,-0.942041,4.906481,4.738371,-1.644158,-3.761134,-3.254195,48.900089,-0.000412,3706694158.260000,-53.492652,-44.502232,-11.795544,68.537458,65.908973,-24.291239,-53.647126,-44.639809,-3.714653,-3.208008,-0.936770,4.906572,4.736158,-1.648414,-3.763711,-3.249996,48.899999,-0.000008
3706694158.280000,0.150842,0.030917,0.001476,0.162581,0.036794,0.001583,0.173356,0.032950,0.001702,0.162276,0.033559,0.001587,0.096331,0.016759,0.000949,0.106981,0.020599,0.001050,0.095264,0.015312,0.000940,0.099523,0.017529,0.000980,0.000019,-0.000693,3706694158.280000,-59.077686,-36.805912,-2.349514,69.530800,62.010799,-33.046989,-59.247772,-36.928497,-4.119450,-2.669963,-0.257026,4.989604,4.466672,-2.281455,-4.173730,-2.704960,48.900024,-0.000703,3706694158.280000,-59.113677,-36.707315,-2.238597,69.508858,61.934067,-33.141544,-59.286423,-36.822043,-4.121290,-2.665608,-0.251737,4.988844,4.463842,-2.285303,-4.175646,-2.700396,48.900005,-0.000011
3706694158.300000,0.152437,0.035613,0.001482,0.163884,0.033221,0.001605,0.167850,0.031485,0.001648,0.161379,0.033431,0.001579,0.095230,0.015374,0.000940,0.106856,0.018861,0.001052,0.095204,0.014670,0.000941,0.099115,0.016339,0.000978,-0.000087,-0.001130,3706694158.300000,-63.587788,-28.315668,7.252406,69.189285,56.863514,-41.278328,-63.771168,-28.411875,-4.448072,-2.076844,0.432896,4.977333,4.109692,-2.875157,-4.506609,-2.104044,48.899914,-0.001135,3706694158.300000,-63.607027,-28.211358,7.360968,69.154585,56.777515,-41.358986,-63.794610,-28.301714,-4.449338,-2.072344,0.438048,4.975937,4.106383,-2.878599,-4.507927,-2.099295,48.900001,-0.000005
3706694158.320000,0.157062,0.034981,0.001531,0.159112,0.029952,0.001562,0.166315,0.036227,0.001623,0.160829,0.033730,0.001572,0.094730,0.014646,0.000936,0.106625,0.021356,0.001045,0.093866,0.013591,0.000929,0.098388,0.016513,0.000970,-0.000009,0.000238,3706694158.320000,-66.881790,-19.286390,16.718859,67.527679,50.634277,-48.722702,-67.078049,-19.353498,-4.691800,-1.444126,1.114684,4.870307,3.674243,-3.414039,-4.753572,-1.462967,48.899986,0.000229,3706694158.320000,-66.887839,-19.177270,16.819308,67.481263,50.536830,-48.787139,-67.085766,-19.241521,-4.692462,-1.439524,1.119532,4.868101,3.670572,-3.416986,-4.754203,-1.458116,48.899996,-0.000009
3706694158.340000,0.156299,0.031337,0.001531,0.155253,0.032713,0.001517,0.171388,0.039713,0.001667,0.161001,0.034603,0.001572,0.095017,0.013404,0.000941,0.104672,0.021615,0.001024,0.091908,0.011957,0.000911,0.097102,0.015392,0.000959,-0.000006,0.000938,3706694158.340000,-68.899384,-9.886637,25.867062,64.580368,43.440865,-55.234894,-69.105469,-9.926246,-4.846036,-0.783857,1.775249,4.670243,3.168669,-3.887736,-4.909794,-0.793947,48.899990,0.000926,3706694158.340000,-68.892850,-9.778075,25.956537,64.519936,43.331525,-55.285273,-69.097079,-9.814196,-4.846122,-0.779194,1.779646,4.667414,3.164746,-3.890156,-4.909797,-0.789118,48.899996,-0.000012
